Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-2423.146	-2644.502	221.3562	1.463739	1.982387	3.893931
6	-2438.658	-2659.276	220.6176	1.419787	2.27903	4.245538
12	-2442.107	-2663.357	221.2492	1.368663	1.756439	4.089374
18	-2430.013	-2651.96	221.9472	1.444217	1.716936	3.660129
24	-2432.06	-2653.424	221.3641	1.395191	1.612255	4.063951
30	-2426.656	-2648.549	221.8925	1.604701	1.822088	3.559296
36	-2431.265	-2652.566	221.3005	1.592677	1.939407	3.866564
42	-2441.184	-2663.504	222.3195	1.580885	2.483787	3.105329
48	-2439.389	-2661.527	222.1382	1.712631	2.585776	3.105329
54	-2434.419	-2655.484	221.0646	1.450017	2.229377	3.989055
60	-2462.217	-2685.59	223.3738	1.727807	2.232382	2.451245
66	-2457.742	-2681.842	224.1	1.833341	1.914903	2.032291
72	-2436.436	-2659.355	222.9188	1.933592	2.443498	2.53862
78	-2446.866	-2669.019	222.1536	1.732047	2.460245	3.121088
84	-2446.745	-2671.188	224.4427	1.950067	1.875561	1.735774
90	-2440.078	-2662.865	222.787	1.765337	2.216803	2.795877
96	-2440.648	-2662.562	221.9131	1.701738	1.766842	3.511341
102	-2441.775	-2662.815	221.0396	1.508184	1.766842	4.125449
108	-2426.719	-2648.055	221.3355	1.509044	1.486109	4.066886
114	-2437.274	-2659.074	221.8	1.509044	1.486109	3.800813
120	-2434.774	-2654.822	220.0484	1.452219	1.992866	4.637928
126	-2441.768	-2663.656	221.8879	1.5554	2.337463	3.419066
132	-2435.444	-2657.406	221.9617	1.545146	1.669824	3.611463
138	-2447.211	-2667.569	220.3581	1.586631	1.811983	4.450449
144	-2443.499	-2665.466	221.9662	1.636408	1.984784	3.439914
150	-2450.543	-2672.911	222.3673	1.335924	1.913193	3.40608
156	-2433.417	-2654.985	221.5674	1.588571	1.905597	3.727055
162	-2431.038	-2651.483	220.4455	1.314594	1.480296	4.681667
168	-2424.341	-2645.416	221.0749	1.544483	1.878048	4.044668
174	-2433.113	-2656.044	222.9309	1.549072	1.304582	3.199778
180	-2429.882	-2651.441	221.5591	1.321013	1.735875	3.947308
186	-2434.523	-2656.232	221.7098	1.412363	1.735875	3.808368
192	-2440.628	-2662.988	222.3603	1.589187	2.15438	3.178513
198	-2440.705	-2663.101	222.3958	1.64596	1.992636	3.178513
204	-2439.663	-2661.794	222.1306	1.687331	1.870881	3.35398
210	-2433.734	-2656.181	222.447	1.683522	2.245678	3.041026
216	-2428.162	-2651.075	222.9124	1.709268	2.076114	2.801181
222	-2427.208	-2649.579	222.3708	1.571016	2.091536	3.203877
228	-2438.108	-2660.723	222.6152	1.732138	2.091536	2.96188
234	-2433.13	-2656.059	222.9288	1.692572	2.008296	2.825168
240	-2441.183	-2663.276	222.0926	1.697062	2.482415	3.171585
246	-2435.484	-2656.099	220.6149	1.504177	2.202543	4.222515
252	-2441.983	-2663.321	221.3383	1.433073	2.410732	3.787391
258	-2453.142	-2673.987	220.8448	1.445653	2.126022	4.149158
264	-2421.266	-2642.867	221.6012	1.540359	1.720496	3.803028
270	-2432.764	-2654.211	221.4473	1.595885	1.70548	3.86527
276	-2433.835	-2655.286	221.4509	1.396525	2.242061	3.794177
282	-2436.972	-2658.581	221.6096	1.559524	1.7021	3.794177
288	-2434.778	-2656.869	222.0907	1.686557	1.642466	3.464822
294	-2432.088	-2654.933	222.8451	1.521063	1.960638	2.996245
300	-2442.75	-2663.937	221.1869	1.521063	1.711326	4.054926
306	-2433.687	-2654.779	221.0915	1.329701	1.916422	4.144206
312	-2432.386	-2652.588	220.2023	1.288554	1.723228	4.737301
318	-2430.71	-2652.149	221.4393	1.544561	1.733797	3.888604
324	-2457.133	-2679.01	221.8772	1.495277	1.744186	3.660685
330	-2440.854	-2661.509	220.6547	1.498381	2.74604	4.049535
336	-2452.501	-2673.147	220.6465	1.394629	2.124283	4.291119
342	-2442.97	-2664.492	221.5219	1.551379	3.033458	3.445697
348	-2428.768	-2650.655	221.8874	1.603612	2.16301	3.445697
354	-2425.687	-2647.514	221.8275	1.506662	2.101258	3.557316
360	-2421.689	-2643.475	221.7864	1.442956	1.743337	3.743747
366	-2432.733	-2652.686	219.9533	1.330489	2.209281	4.690906
372	-2441.258	-2659.887	218.6292	1.340506	2.455769	5.349602
378	-2450.372	-2669.889	219.5165	1.3588	1.471216	5.177759
384	-2436.813	-2658.655	221.8422	1.55466	2.154439	3.503484
390	-2432.239	-2653.633	221.3942	1.455166	2.500986	3.716432
396	-2445.479	-2667.982	222.5035	1.675424	2.513965	2.929524
402	-2448.379	-2671.461	223.0815	1.680003	2.179919	2.680173
408	-2449.818	-2671.82	222.0014	1.787263	2.162514	3.271001
414	-2449.537	-2671.709	222.1717	1.570579	2.317789	3.249182
420	-2442.627	-2664.362	221.7357	1.594007	2.129157	3.550807
426	-2433.734	-2655.225	221.4915	1.376706	1.901985	3.893959
432	-2450.39	-2672.352	221.9621	1.585023	2.20455	3.399573
438	-2439.507	-2662.616	223.1089	1.879185	1.92229	2.63197
444	-2447.156	-2670.06	222.904	1.746025	1.999777	2.810779
450	-2438.925	-2660.985	222.0602	1.570655	1.835542	3.476488
456	-2454.011	-2675.913	221.9018	1.610129	1.678813	3.605001
462	-2433.619	-2654.485	220.8663	1.448453	1.701102	4.282185
468	-2431.143	-2653.265	222.1217	1.544902	1.62857	3.53496
474	-2436.278	-2657.885	221.6066	1.568503	1.638093	3.81564
480	-2427.866	-2648.149	220.2828	1.390006	1.86979	4.582994
486	-2427.928	-2647.086	219.1571	1.250066	1.86979	5.287283
492	-2432.363	-2652.529	220.1663	1.388997	2.106092	4.570692
498	-2439.316	-2659.924	220.6076	1.362362	1.608445	4.512253
504	-2430.589	-2653.101	222.5121	1.48816	1.852022	3.25345
510	-2425.637	-2647.347	221.7106	1.48816	2.194229	3.606038
516	-2428.45	-2651.3	222.8499	1.530505	1.874923	3.018863
522	-2423.463	-2644.562	221.0991	1.458232	2.02297	4.030594
528	-2433.54	-2655.442	221.9022	1.551081	2.786535	3.285727
534	-2437.335	-2661.053	223.7181	1.85047	1.740196	2.340301
540	-2431.325	-2653.566	222.2413	1.56049	1.679909	3.43561
546	-2429.988	-2652.986	222.9984	1.601842	1.679909	2.962282
552	-2438.497	-2660.567	222.0698	1.491018	1.998006	3.459774
558	-2441.595	-2664.033	222.4385	1.416259	1.978769	3.293889
564	-2438.445	-2662.376	223.9314	1.618098	1.566543	2.427178
570	-2430.366	-2652.513	222.1475	1.338816	2.14723	3.453544
576	-2440.7	-2662.705	222.0052	1.503944	1.598458	3.63856
582	-2435.74	-2658.005	222.265	1.614052	1.390492	3.512657
588	-2429.228	-2650.873	221.6445	1.442852	2.159444	3.681652
594	-2429.187	-2649.716	220.5293	1.397437	1.878077	4.437306
600	-2434.838	-2655.403	220.5642	1.388839	2.338557	4.275707
606	-2433.117	-2654.722	221.6051	1.358871	2.719741	3.589824
612	-2435.493	-2656.075	220.5816	1.441542	1.776198	4.419144
618	-2438.632	-2661.452	222.8197	1.635533	2.02708	2.919122
624	-2430.61	-2653.343	222.7332	1.705168	2.056238	2.919122
630	-2425.745	-2646.295	220.5495	1.476049	2.056238	4.321723
636	-2437.94	-2660.046	222.106	1.510484	1.868972	3.472705
642	-2431.025	-2652.975	221.95	1.544806	2.073823	3.472705
648	-2431.392	-2653.871	222.4791	1.689259	2.516444	2.935177
654	-2429.106	-2651.049	221.9428	1.656578	1.474004	3.63829
660	-2430.293	-2652.158	221.8654	1.541291	1.843308	3.604164
666	-2427.273	-2648.866	221.5927	1.499524	1.690246	3.842988
672	-2424.134	-2645.474	221.3397	1.582468	1.587655	3.980765
678	-2442.42	-2663.678	221.2585	1.496481	2.205727	3.858611
684	-2436.43	-2658.078	221.648	1.554125	2.320536	3.56493
690	-2440.634	-2662.628	221.994	1.702919	2.134498	3.334244
696	-2437.849	-2660.043	222.1942	1.620777	2.134498	3.264639
702	-2428.283	-2650.019	221.7362	1.64259	2.134498	3.520431
708	-2454.265	-2675.709	221.4441	1.666646	2.502842	3.564429
714	-2451.394	-2673.08	221.6859	1.244651	1.754336	3.91151
720	-2445.065	-2667.505	222.4398	1.403597	2.550045	3.120005
726	-2457.648	-2678.125	220.4767	1.37363	1.776117	4.516442
732	-2454.823	-2677.356	222.5333	1.581043	2.351801	3.017338
738	-2447.142	-2670.141	222.9989	1.655876	2.259679	2.719246
744	-2446.977	-2669.306	222.3288	1.545358	2.501545	3.11579
750	-2438.909	-2661.485	222.5755	1.551857	2.026603	3.11579
756	-2428.042	-2650.432	222.3905	1.573504	2.467145	3.072331
762	-2432.816	-2656.22	223.4034	1.663131	2.018423	2.547989
768	-2420.631	-2644.323	223.6919	1.828012	2.259496	2.175059
774	-2444.771	-2667.861	223.0902	1.847353	2.707856	2.405621
780	-2439.731	-2662.696	222.965	1.826832	2.178488	2.662035
786	-2443.288	-2666.894	223.6058	1.81773	2.659499	2.107793
792	-2446.907	-2670.613	223.7058	1.921281	2.600787	1.991478
798	-2430.316	-2653.653	223.3376	1.978187	2.956932	2.091024
804	-2436.323	-2659.627	223.304	1.992407	2.956932	2.103742
810	-2439.052	-2661.984	222.9321	1.641248	2.165238	2.800217
816	-2430.446	-2652.682	222.2358	1.60983	2.165238	3.236449
822	-2424.125	-2646.417	222.2922	1.576301	2.17503	3.219776
828	-2423.034	-2645.186	222.1521	1.673972	2.363478	3.185605
834	-2424.061	-2646.397	222.3357	1.538409	2.477058	3.122983
840	-2417.791	-2640.643	222.8512	1.475548	2.34709	2.89094
846	-2433.472	-2656.234	222.7618	1.733587	2.028238	2.894486
852	-2431.302	-2652.593	221.2919	1.608639	2.080159	3.815088
858	-2428.249	-2648.683	220.4341	1.394892	2.033093	4.440229
864	-2421.808	-2641.637	219.8297	1.330452	2.237535	4.751547
870	-2428.163	-2647.537	219.3741	1.290361	1.58848	5.247472
876	-2439.518	-2660.31	220.7917	1.464628	1.787709	4.283244
882	-2430.652	-2652.715	222.0631	1.715766	2.316197	3.228033
888	-2432.593	-2655.098	222.505	1.812363	2.813724	2.760511
894	-2428.551	-2650.798	222.2469	1.693928	1.896082	3.272497
